datetime,comment,satisfaction
2019-03-11,역앞에 젊은이들이 모여있다(AA역),1
2019-02-25,운동할 수 있는 장소가 있는 것이 좋다,5
2019-02-18,육아 지원이 좋다,5
2019-04-09,어린이집에 바로 입원할 수 있다(대기아동 없음),4
2019-01-06,역앞 상가가 쓸쓸하다,2
2019-01-12,생활은 편리하지만 놀만한 장소가 없다,3
2019-02-02,놀 장소가 없다,2
2019-04-06,상업시설이 좀 더 있었으면 좋겠다,3
2019-04-17,병원이 충분하다,4
2019-03-07,사이클링 코스가 좋다,5
2019-02-15,축제를 좀 더 성대하게 했으면 좋겠다,2
2019-02-17,초등학교가 깨끗해서 좋다,4
2019-03-06,공원이 더 필요하다,2
2019-01-09,근처에 공원이 있어서 살기 좋다,4
2019-01-03,슈퍼까지 가는게 힘들어,1
2019-01-02,육아가 쉽다,4
2019-03-06,데이트 명소를 갖고 싶다,3
2019-02-12,상가를 좀 더 활기차게 만들었으면 좋겠다.,4
2019-03-15,밤길이 어둡다 (BB지구),1
2019-02-20,쓰레기 처리가 편함,4
2019-02-13,영화관이 아쉽다,2
2019-03-19,가로수를 더 갖고 싶다,3
2019-04-21,공원을 추가해 주었으면 한다,2
2019-01-01,관광 명소가 없다,1
2019-02-25,육아하기에는 최고,4
2019-01-21,길이 깨끗하다,4
2019-03-12,시내 접근성이 좋다,5
2019-04-30,집세가 합리적이다,4
2019-01-26,BBB의 교통 체증을 어떻게든 해 주었으면 한다.,2
2019-02-16,상가에 지붕이 없어서 비가 오면 큰일이다,2
2019-02-02,상가에 더 많은 카페를 원한다,2
2019-02-17,스포츠 센터가 있어서 자주 이용하고 있다,4
2019-04-03,스포츠 센터의 이용 요금이 비싸다,2
2019-02-07,워킹맘의 지원을 더 늘렸으면 좋겠다,2
2019-04-30,버스가 별로 안 온다,1
2019-02-17,자전거로 달리기 쉽다,4
2019-02-11,달리기같은 운동할 수 있는 장소가 많다.,5
2019-04-08,유명한 기업이 많다,3
2019-03-20,역앞에 주차장이 부족하다,1
2019-03-11,이상한 아저씨가 말을 걸어온 적이 있다.경찰 순찰을 더 강화해 주길 바란다,1
2019-01-09,소방활동이 활발해서 안심할 수 있다,4
2019-02-25,,3
2019-02-23,재난시의 피난 장소가 적은 것 같다.,2
2019-03-11,"요즘 강 범람 피해가 크게 다루어지고 있는데, 이 도시에서는 어떤 범람 방지를 취하고 있는지 설명해 주길 바란다",3
2019-02-28, XXX 에 신호등이 없는 사거리가 때문에 사고가 날것 같아 두렵다. 신호를 해달라.,1
2019-04-29,상가의 활성화 활동을 좀더 행정이 뒷받침해 주길 바란다,1
2019-04-17,아이가 안전하게 놀만한 장소가 없다,1
2019-01-13,역앞에 자전거 주차장이 없어 불편함.,1
2019-01-11,가로수 낙엽 청소가 힘들다. 가로수 다 잘라버리자,1
2019-04-27,재해 시의 비축 상황은 어떻게 되어 있는가,2
2019-01-22,보도가 넓은 길이 많아서 안심할 수 있다,4
2019-04-03,지역 자치단체를 더 지원해주길 바란다,2
2019-02-02,자치단체의 활동이 활발해서 안심하고 살 수 있다,5
2019-01-22,관광지가 적다,1
2019-01-14,"최근 지방 넘버의 차가 많다, 치안은 제대로 되어 있는가?",1
2019-03-18,주차장 수가 적고 요금이 비싸다.역 앞에 공공 주차장을 만들어 주길 바란다,1
2019-04-13,보행자용 신호가 빠르게 바뀐다. 노인과 어린이를 생각해서 설정해 주었으면 한다,2
2019-01-25,급행이 멈춰서 시내에 나가기 쉽고 좋다,4
2019-03-01,버스 노선을 늘려 주길 바란다,1
2019-03-13,봄의 벚꽃길이 최고로 아름답습니다.벚꽃길을 더 늘려줬으면 좋겠다,5
2019-02-13,"옆동네에 생긴 쓰레기 처리시설이 걱정, 공해는 괜찮나?",2
2019-03-15,시장이 젊고 활기가 있다,4
2019-03-19,앙케이트를 제대로 확인하고 거리조성에 반영해주고 있는 자세가 좋다.,5
2019-03-24,지난달 직원 비리의혹에 대해 좀 더 자세히 설명해 달라,1
2019-04-02,시청 담당자가 무뚝뚝해서 마음에 들지 않는다,1
2019-02-13,관공서 출장소를 역전에 지어 주었으면 한다,3
2019-03-24,관공서가 토요일일요일도 열리면 좋겠다,5
2019-03-16,재해시의 피난경로를 좀 더 알기 쉽게 표시해 주었으면 한다.,2
2019-01-29,시의 홈페이지가 깨끗하고 알기 쉽다,5
2019-01-04,,2
2019-04-22,관공서에 전화해도 연결되지 않는다.대응자를 더 늘려 주십시오,1
2019-04-28,골목이 좁고 무섭다,1
2019-03-16,동물원이 있으면 좋겠다,3
2019-03-28,겨울철 노면동결로 사고가 많다. 처리해주세요,1
2019-04-16,자연 경관이 좋아서 지내기 좋다,4
2019-04-23,"도둑고양이 피해가 심각하다, 도둑고양이 대책은?",1
2019-01-29,"관공서에 상담하러 갔을 때, 매우 친절하게 대해 주었다",5
2019-01-10,고속도로로 나가는 길이 좁아서 정체가 심하다. 확장해 주었으면 좋겠다,1
2019-02-18,시의 마스코트 같은 걸 만들면 어떨까?,2
2019-03-30,야간 병원이 적어서 불안,1
2019-04-21,고령자 지원 시설이 없다,2
2019-01-21,초등학교 운동장이 잔디밭이라서 아주 좋다,5
2019-04-30,홈페이지에서도 설문지를 투고할 수 있게 해 달라,2
2019-01-09,공원에 놀이기구가 너무 적다,1
2019-03-09,공원을 더 늘렸으면 좋겠다,2
2019-04-02,"역앞에 주차장이 적다, 불편하다",1
